Blue Ridge Optics, Hamilton College, June 2026						
LiF on 3-inch Fused Silica wafer. WA0904 Labeled Sample						Map 3, July 29, 2026
Used RC2XF Small Spot Ellipsometer with focused beam						Sample Rotated Clockwise 90 degrees						
Mapping Results						
X (cm)	Y (cm)	LiF Film Thickness, nm	LiF Grading, %	Roughness, nm	Interlayer Thickness # 1, nm	Interlayer EMA Void, %
-3	1.4	497.2	3.7	29.1	90.8	17.3
-3.2	1.4	495.9	3.7	29.5	90.9	17.0
-3.2	1.2	497.1	3.7	29.6	90.2	17.4
-3	1.2	498.6	3.4	28.9	90.3	17.7
-2.8	1.2	497.4	3.9	29.7	91.1	17.9
-2.6	1.2	497.8	3.9	29.8	91.0	18.3
-2.4	1.2	498.0	3.9	29.8	91.5	18.4
-2.2	1.2	498.0	3.9	30.0	91.4	18.7
-2	1.2	498.3	4.1	30.0	91.9	18.9
-1.8	1.2	497.8	4.1	30.2	92.4	19.1
-1.6	1.2	498.5	4.4	30.3	92.5	19.3
-1.4	1.2	497.6	4.2	30.0	93.2	19.2
-1.2	1.2	498.6	4.2	30.0	92.8	19.6
-1	1.2	498.1	4.4	30.3	93.5	19.8
-0.8	1.2	498.8	4.1	30.1	92.9	20.0
-0.6	1.2	498.4	4.1	30.2	93.4	20.0
-0.4	1.2	498.5	4.2	30.2	93.7	20.2
-0.2	1.2	498.9	4.2	30.2	93.7	20.3
0	1.2	499.2	4.3	30.4	93.7	20.7
0.2	1.2	498.7	4.2	30.2	94.2	20.7
0.4	1.2	499.0	4.3	30.0	94.2	20.9
0.6	1.2	499.4	4.4	30.3	94.0	21.3
0.8	1.2	499.1	4.4	30.3	94.3	21.3
1	1.2	499.1	4.5	30.1	94.6	21.5
1.2	1.2	499.8	4.4	30.3	94.2	21.8
1.4	1.2	499.6	4.4	30.0	94.6	21.8
1.6	1.2	499.3	4.3	30.1	94.9	21.9
1.8	1.2	498.0	4.5	29.3	96.0	22.0
2	1.2	499.6	4.4	30.3	94.8	22.3
2.2	1.2	499.4	4.5	30.2	95.5	22.6
2.4	1.2	499.7	4.5	30.4	95.2	22.7
2.6	1.2	499.7	4.5	30.3	95.5	22.6
2.8	1.2	498.9	4.7	30.2	96.5	22.4
3	1.2	496.1	5.0	29.4	98.9	22.4
3.2	1.2	493.9	5.0	28.9	99.1	22.2
3.4	1	495.6	4.6	29.2	96.5	22.3
3.2	1	498.2	4.7	29.7	95.2	23.0
3	1	498.7	4.8	30.3	96.1	22.9
2.8	1	499.1	4.7	30.3	95.9	22.7
2.6	1	498.9	4.7	30.3	96.0	22.8
2.4	1	498.8	4.2	29.7	95.4	22.1
2.2	1	499.6	4.6	30.4	95.2	22.6
2	1	499.3	4.4	30.1	95.2	22.5
1.8	1	499.1	4.2	29.8	95.1	21.9
1.6	1	499.8	4.4	30.4	94.7	22.2
1.4	1	499.4	4.4	30.3	94.9	21.8
1.2	1	497.6	4.5	30.1	96.3	21.5
1	1	499.5	4.4	30.1	94.4	21.6
0.8	1	499.2	4.5	30.0	94.5	21.5
0.6	1	498.9	4.4	30.3	94.5	21.2
0.4	1	499.1	4.2	29.9	93.9	20.9
0.2	1	499.3	4.1	29.7	93.2	20.7
0	1	499.5	4.4	30.3	93.9	20.8
-0.2	1	499.1	4.1	30.1	93.4	20.6
-0.4	1	498.7	4.2	30.3	93.6	20.3
-0.6	1	498.6	4.3	30.3	93.6	19.9
-0.8	1	498.3	4.4	30.2	93.8	19.9
-1	1	498.8	4.2	30.1	93.0	19.9
-1.2	1	498.3	4.3	30.1	93.3	19.6
-1.4	1	498.6	4.2	30.1	92.9	19.5
-1.6	1	498.4	4.2	30.1	92.3	19.5
