Blue Ridge Optics, November 2025				
Serial 001: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X(cm)	Y(cm)	LiF_Thickness,nm	LiF_n@632.8nm	Roughness,nm
-1.4	0.4	562.17	1.376	12.39
-1.2	0.4	561.94	1.376	12.80
-1	0.4	561.65	1.376	12.31
-0.8	0.4	561.81	1.376	12.76
-0.6	0.4	561.41	1.376	12.38
-0.4	0.4	561.00	1.376	12.06
-0.2	0.4	560.92	1.376	12.06
0	0.4	560.97	1.376	12.03
0.2	0.4	560.53	1.377	12.15
0.4	0.4	560.59	1.376	11.86
0.6	0.4	560.66	1.375	11.63
0.8	0.4	559.84	1.376	12.00
1	0.4	560.11	1.376	12.05
1.2	0.4	560.04	1.376	12.40
1.4	0.4	559.86	1.376	11.69
1.6	0.4	560.66	1.376	13.56
1.8	0.4	560.21	1.375	11.66
2	0.4	560.02	1.375	11.24
2.2	0.4	560.32	1.375	11.85
2.4	0.4	559.59	1.375	11.15
2.6	0.4	560.48	1.375	12.20
2.8	0.4	559.55	1.375	11.91
3	0.4	559.10	1.375	11.55
3.2	0.4	559.45	1.375	12.08
3.4	0.4	558.95	1.375	11.46
3.4	0.2	558.57	1.376	10.34
3.2	0.2	559.12	1.375	10.49
3	0.2	559.37	1.375	10.79
2.8	0.2	560.16	1.374	11.01
2.6	0.2	559.77	1.375	10.80
2.4	0.2	559.97	1.375	10.86
2.2	0.2	560.15	1.375	10.82
2	0.2	560.26	1.375	11.76
1.8	0.2	560.06	1.376	13.14
1.6	0.2	559.93	1.376	12.04
1.4	0.2	559.28	1.377	11.99
1.2	0.2	561.27	1.375	12.54
1	0.2	560.10	1.376	11.81
0.8	0.2	560.68	1.376	13.07
0.6	0.2	559.97	1.377	12.04
0.4	0.2	560.44	1.377	13.50
0.2	0.2	561.07	1.376	11.70
0	0.2	561.17	1.376	11.88
-0.2	0.2	560.79	1.377	12.03
-0.4	0.2	561.40	1.376	12.02
-0.6	0.2	561.20	1.376	12.39
-0.8	0.2	561.95	1.375	12.21
-1	0.2	561.75	1.376	12.63
-1.2	0.2	561.92	1.376	12.56
-1.4	0.2	562.43	1.376	12.35
-1.6	0.2	562.28	1.376	12.83
-1.8	0.2	562.65	1.376	12.47
-2	0.2	563.26	1.375	12.44
-2.2	0.2	562.64	1.376	12.81
-2.4	0.2	562.22	1.377	12.95
-2.6	0.2	562.17	1.377	12.62
-2.8	0.2	561.59	1.377	12.58
-3	0.2	562.00	1.377	12.66
-3.2	0.2	561.29	1.378	12.53
-3.4	0.2	561.15	1.380	11.59
-3.4	0	561.54	1.381	12.07
-3.2	0	561.13	1.379	12.09
-3	0	561.68	1.377	12.36
-2.8	0	561.70	1.377	12.16
-2.6	0	562.33	1.376	12.56
-2.4	0	562.90	1.377	12.95
-2.2	0	562.71	1.377	12.60
-2	0	562.55	1.376	12.37
-1.8	0	562.26	1.376	12.55
-1.6	0	562.11	1.376	12.46
-1.4	0	561.74	1.377	12.44
-1.2	0	561.96	1.376	12.63
-1	0	562.00	1.376	12.55
-0.8	0	561.81	1.376	12.13
-0.6	0	561.49	1.376	12.07
-0.4	0	561.11	1.376	11.95
-0.2	0	561.25	1.376	11.60
0	0	560.58	1.377	12.13
0.2	0	560.59	1.377	12.12
0.4	0	562.15	1.376	13.99
0.6	0	561.62	1.376	12.73
0.8	0	560.56	1.376	12.26
1	0	559.84	1.377	12.06
1.2	0	559.74	1.376	11.79
1.4	0	560.03	1.376	12.62
1.6	0	560.34	1.376	13.46
1.8	0	560.10	1.376	12.10
2	0	559.90	1.375	11.42
2.2	0	559.76	1.375	11.22
2.4	0	559.85	1.375	11.12
2.6	0	559.75	1.375	11.19
2.8	0	559.24	1.375	11.04
3	0	559.59	1.375	11.38
3.2	0	558.98	1.376	10.84
3.4	0	558.83	1.377	12.22
3.4	-0.2	558.24	1.376	10.59
3.2	-0.2	559.92	1.375	11.71
3	-0.2	559.26	1.375	10.70
2.8	-0.2	560.06	1.375	11.77
2.6	-0.2	560.53	1.374	10.75
2.4	-0.2	559.99	1.375	11.67
2.2	-0.2	560.45	1.375	11.76
2	-0.2	560.18	1.375	11.47
1.8	-0.2	559.90	1.376	11.75
