Blue Ridge Optics, November 2025				
Serial 002: LiF on 3-inch Silicon Wafer. With visibly hazy areas				
Used RC2XF Small Spot Ellipsometer with focused beam				
LiF Film Thickness in nm vs. Position				
X (cm)	Y (cm)	LiF Thickness, nm	LiF n@632.8 nm	Roughness, nm
2	-0.6	562.01	1.377	12.53
1.8	-0.6	561.72	1.377	12.62
1.6	-0.6	561.71	1.377	12.57
1.4	-0.6	560.80	1.378	12.88
1.2	-0.6	560.53	1.378	12.41
1	-0.6	560.60	1.378	12.38
0.8	-0.6	560.76	1.379	12.34
0.6	-0.6	560.57	1.378	12.21
0.4	-0.6	560.46	1.378	12.14
0.2	-0.6	560.15	1.378	12.17
0	-0.6	560.40	1.378	12.29
-0.2	-0.6	560.74	1.378	11.73
-0.4	-0.6	560.75	1.377	11.70
-0.6	-0.6	560.19	1.378	11.77
-0.8	-0.6	560.04	1.378	11.45
-1	-0.6	559.53	1.378	11.30
-1.2	-0.6	559.30	1.379	11.17
-1.4	-0.6	558.85	1.379	10.91
-1.6	-0.6	559.06	1.379	10.79
-1.8	-0.6	558.88	1.379	11.00
-2	-0.6	558.57	1.379	9.94
-2.2	-0.6	558.33	1.379	10.26
-2.4	-0.6	558.68	1.379	10.31
-2.6	-0.6	558.90	1.378	10.05
-2.8	-0.6	558.44	1.379	10.17
-3	-0.6	557.71	1.380	9.81
-3.2	-0.6	559.44	1.382	10.97
-3.4	-0.6	556.97	1.381	9.40
-3.4	-0.8	556.81	1.381	9.13
-3.2	-0.8	557.32	1.380	9.64
-3	-0.8	557.96	1.380	9.78
-2.8	-0.8	557.80	1.380	9.67
-2.6	-0.8	559.30	1.378	10.65
-2.4	-0.8	557.96	1.379	10.21
-2.2	-0.8	558.74	1.378	10.23
-2	-0.8	558.73	1.379	10.47
-1.8	-0.8	559.20	1.378	10.97
-1.6	-0.8	559.15	1.378	10.81
-1.4	-0.8	559.06	1.379	11.08
-1.2	-0.8	559.26	1.379	11.62
-1	-0.8	559.74	1.378	11.38
-0.8	-0.8	560.74	1.377	11.06
-0.6	-0.8	560.68	1.377	11.99
-0.4	-0.8	561.13	1.377	11.66
-0.2	-0.8	561.19	1.377	11.77
0	-0.8	561.32	1.377	11.95
0.2	-0.8	560.88	1.378	11.72
0.4	-0.8	560.41	1.378	12.07
0.6	-0.8	561.04	1.378	13.15
0.8	-0.8	560.54	1.378	12.34
1	-0.8	560.87	1.378	12.29
1.2	-0.8	560.52	1.378	12.56
1.4	-0.8	561.48	1.378	12.63
1.6	-0.8	561.22	1.378	12.97
1.8	-0.8	561.66	1.377	12.99
2	-0.8	561.79	1.377	12.97
2.2	-0.8	562.10	1.377	13.14
2.4	-0.8	562.48	1.377	13.88
2.6	-0.8	562.94	1.377	14.09
2.8	-0.8	562.11	1.378	12.62
3	-0.8	562.47	1.377	12.76
3.2	-0.8	562.24	1.378	12.42
3.4	-0.8	561.85	1.379	12.38
3.4	-1	561.20	1.379	12.97
3.2	-1	562.13	1.379	12.47
3	-1	562.49	1.378	12.79
2.8	-1	562.65	1.377	12.60
2.6	-1	562.17	1.378	12.79
2.4	-1	561.96	1.377	13.05
2.2	-1	562.35	1.376	12.94
2	-1	561.65	1.377	13.06
1.8	-1	561.77	1.377	12.85
1.6	-1	562.66	1.380	15.99
1.4	-1	561.00	1.378	12.76
1.2	-1	560.67	1.378	12.80
1	-1	560.73	1.378	12.50
0.8	-1	561.17	1.377	12.39
0.6	-1	561.08	1.378	11.89
0.4	-1	560.61	1.378	12.22
0.2	-1	560.99	1.378	12.12
0	-1	561.47	1.377	12.46
-0.2	-1	561.63	1.377	11.73
-0.4	-1	560.81	1.377	11.94
-0.6	-1	560.76	1.377	11.54
-0.8	-1	560.97	1.377	11.63
-1	-1	560.23	1.377	11.52
